name,neighbourhood,room_type,accommodates,property_type,amenities,price,is_available_next_2_days
"Extended stay room, close-in, w/ private bath, A/C",Buckman,Private room,2,Private room in residential home,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Cable TV\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Host greets you\"\"& \"\"Refrigerator\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Backyard\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"TV with standard cable\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Bed linens\"\"& \"\"Lock on bedroom door\"\"& \"\"Dishwasher\"\"& \"\"Fire extinguisher\"\"\"",$46.00,FALSE
Best Location in Portland! THE View,South Portland,Private room,2,Private room in rental unit,"\"\"\"Shampoo\"\"& \"\"TV\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Kitchen\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lock on bedroom door\"\"& \"\"Heating\"\"& \"\"Fire extinguisher\"\"& \"\"Carbon monoxide alarm\"\"\"",$160.00,True
Southwest Portland,Multnomah,Entire home/apt,2,Entire rental unit,"\"\"\"Essentials\"\"& \"\"Kitchen\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Washer\"\"& \"\"Free parking on premises\"\"& \"\"Wifi\"\"& \"\"EV charger\"\"& \"\"Dryer\"\"& \"\"Elevator\"\"& \"\"Heating\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"\"",$175.00,True
Beautiful Laurelhurst Home,Laurelhurst,Entire home/apt,6,Entire residential home,"\"\"\"Portable fans\"\"& \"\"Security cameras on property\"\"& \"\"Ethernet connection\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Fire pit\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Extra pillows and blankets\"\"& \"\"Drying rack for clothing\"\"& \"\"Dishes and silverware\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Refrigerator\"\"& \"\"Private fenced garden or backyard\"\"& \"\"Hangers\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Private patio or balcony\"\"& \"\"Heating\"\"& \"\"Outdoor furniture\"\"& \"\"Breakfast\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Bathtub\"\"& \"\"Toaster\"\"& \"\"Bed linens\"\"& \"\"Outdoor dining area\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"\"",$300.00,True
Studio with sleeping loft in Concordia District,Concordia,Entire home/apt,2,Entire guest suite,"\"\"\"Free parking on premises\"\"& \"\"Kitchen\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Private entrance\"\"\"",$60.00,True
"Upscale “Pearl Pad”.  Great location, view, fun!",Pearl,Entire home/apt,3,Entire condominium (condo),"\"\"\"Single level home\"\"& \"\"Coffee maker\"\"& \"\"Elevator\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Host greets you\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Private patio or balcony\"\"& \"\"Heating\"\"& \"\"Outdoor furniture\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Dishwasher\"\"\"",$150.00,True
Sanctuary in the heart of the City,Hollywood,Entire home/apt,3,Entire condominium (condo),"\"\"\"Indoor fireplace\"\"& \"\"Shampoo\"\"& \"\"Essentials\"\"& \"\"TV\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Hangers\"\"& \"\"Kitchen\"\"& \"\"Wifi\"\"& \"\"Free parking on premises\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Fire extinguisher\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Private entrance\"\"\"",$70.00,True
Light filled basement apartment,Piedmont,Entire home/apt,2,Entire guest suite,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Body soap\"\"& \"\"Dishes and silverware\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Shared fenced garden or backyard\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Air conditioning\"\"& \"\"Bed linens\"\"\"",$51.00,True
Tabor Rest,Mt. Tabor,Entire home/apt,4,Entire residential home,"\"\"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Air conditioning\"\"& \"\"Fire extinguisher\"\"\"",$121.00,FALSE
Charming Craftsman Cottage,Humboldt,Entire home/apt,4,Entire cottage,"\"\"\"Free parking on premises\"\"& \"\"Kitchen\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Long term stays allowed\"\"& \"\"Fire extinguisher\"\"& \"\"Carbon monoxide alarm\"\"\"",$132.00,True
Bright & Clean Vintage Buckman Victorian Studio,Buckman,Entire home/apt,2,Entire rental unit,"\"\"\"Portable fans\"\"& \"\"Security cameras on property\"\"& \"\"Clothing storage: closet and dresser\"\"& \"\"Laundromat nearby\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Cleaning before checkout\"\"& \"\"Stainless steel oven\"\"& \"\"Extra pillows and blankets\"\"& \"\"Acure Bar Shampoo shampoo\"\"& \"\"Grove body soap\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Private patio or balcony\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Cleaning products\"\"& \"\"Outdoor furniture\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Toaster\"\"& \"\"Room-darkening shades\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"& \"\"Window AC unit\"\"& \"\"Dining table\"\"& \"\"Radiant heating\"\"& \"\"Baking sheet\"\"& \"\"Outdoor dining area\"\"& \"\"Rice maker\"\"& \"\"Fire extinguisher\"\"\"",$78.00,True
Executive Single Family Home-2Bed/1 Bath near Reed,Reed,Entire home/apt,3,Entire residential home,"\"\"\"Indoor fireplace\"\"& \"\"Essentials\"\"& \"\"TV\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Washer\"\"& \"\"Kitchen\"\"& \"\"Wifi\"\"& \"\"Free parking on premises\"\"& \"\"Air conditioning\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Fire extinguisher\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Private entrance\"\"\"",$100.00,FALSE
Belmont Laurelhurst Place,Sunnyside,Entire home/apt,5,Entire residential home,"\"\"\"Shampoo\"\"& \"\"Essentials\"\"& \"\"Kitchen\"\"& \"\"Hangers\"\"& \"\"Washer\"\"& \"\"Wifi\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"\"",$145.00,True
30days+RemodeledCraftsman PorchPatios Stroll Food,Grant Park,Entire home/apt,16,Entire residential home,"\"\"\"Security cameras on property\"\"& \"\"Children\\u2019s books and toys\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Cable TV\"\"& \"\"Microwave\"\"& \"\"Barbecue utensils\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Crib\"\"& \"\"Shampoo\"\"& \"\"Refrigerator\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Backyard\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Fireplace guards\"\"& \"\"Breakfast\"\"& \"\"Babysitter recommendations\"\"& \"\"Private entrance\"\"& \"\"High chair\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"TV with standard cable\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Room-darkening shades\"\"& \"\"Pack \\u2019n play/Travel crib\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"& \"\"Children\\u2019s dinnerware\"\"& \"\"Baking sheet\"\"& \"\"Baby safety gates\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"& \"\"Patio or balcony\"\"\"",$82.00,FALSE
Light-filled charmer in the heart of Buckman!,Buckman,Entire home/apt,4,Entire residential home,"\"\"\"Outdoor dining area\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Clothing storage: dresser and closet\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Samsung stainless steel oven\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Free dryer \\u2013 In unit\"\"& \"\"Dishes and silverware\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Samsung stainless steel stove\"\"& \"\"Samsung refrigerator\"\"& \"\"Hangers\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Private patio or balcony\"\"& \"\"Cleaning products\"\"& \"\"Ceiling fan\"\"& \"\"Outdoor furniture\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Free parking on premises\"\"& \"\"Air conditioning\"\"& \"\"Toaster\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"& \"\"Central heating\"\"& \"\"Dishwasher\"\"& \"\"Private garden or backyard\"\"& \"\"Baking sheet\"\"& \"\"Free washer \\u2013 In unit\"\"\"",$168.00,True
Industrial Pearl District Loft - Free Parking,Pearl,Entire home/apt,2,Entire condominium (condo),"\"\"\"Coffee maker\"\"& \"\"Elevator\"\"& \"\"Dedicated workspace\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Dishes and silverware\"\"& \"\"Shared garden or backyard\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Outdoor furniture\"\"& \"\"Gym\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Air conditioning\"\"& \"\"Outdoor dining area\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"\"",$150.00,True
Charming Craftsman in NE Portland,Alameda,Entire home/apt,6,Entire residential home,"\"\"\"Shampoo\"\"& \"\"Essentials\"\"& \"\"TV\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Kitchen\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Breakfast\"\"& \"\"Hair dryer\"\"& \"\"Fire extinguisher\"\"& \"\"First aid kit\"\"& \"\"Private entrance\"\"\"",$200.00,True
Concordia master suite,Concordia,Private room,2,Private room in residential home,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Host greets you\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Backyard\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"& \"\"Fire extinguisher\"\"\"",$85.00,FALSE
Waterfront District Studio in Downtown Portland,Old Town/Chinatown,Private room,2,Private room in resort,"\"\"\"Coffee maker\"\"& \"\"Waterfront\"\"& \"\"Elevator\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Paid parking on premises\"\"& \"\"Kitchen\"\"& \"\"Cable TV\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Gym\"\"& \"\"Conditioner\"\"& \"\"Private entrance\"\"& \"\"Building staff\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"TV with standard cable\"\"& \"\"Air conditioning\"\"& \"\"Room-darkening shades\"\"& \"\"Pack \\u2019n play/Travel crib\"\"& \"\"Bed linens\"\"& \"\"Lock on bedroom door\"\"& \"\"Dishwasher\"\"& \"\"Fire extinguisher\"\"\"",$322.00,True
Close-in NE Irvington Guesthouse w/in Bamboo Yard,Irvington,Entire home/apt,4,Entire guesthouse,"\"\"\"Essentials\"\"& \"\"TV\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Washer\"\"& \"\"Kitchen\"\"& \"\"Wifi\"\"& \"\"Free parking on premises\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Dedicated workspace\"\"& \"\"Fire extinguisher\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Private entrance\"\"\"",$110.00,True
Portland Waterfront studio,Old Town/Chinatown,Entire home/apt,2,Entire condominium (condo),"\"\"\"Coffee maker\"\"& \"\"Elevator\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Gym\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Washer\"\"& \"\"Air conditioning\"\"& \"\"Paid parking off premises\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"\"",$332.00,True
Chic & Modern Hollywood Casa in NE PDX,Rose City Park,Entire home/apt,2,Entire rental unit,"\"\"\"Security cameras on property\"\"& \"\"50\\\"\" HDTV with Roku\"\"& \"\"Laundromat nearby\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Board games\"\"& \"\"Hair dryer\"\"& \"\"Clothing storage: dresser and closet\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Fast wifi \\u2013 132 Mbps\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Stainless steel oven\"\"& \"\"Extra pillows and blankets\"\"& \"\"Free dryer \\u2013 In unit\"\"& \"\"Smart lock\"\"& \"\"Dishes and silverware\"\"& \"\"Stainless steel electric stove\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Private fenced garden or backyard\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Conditioner\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"& \"\"Dining table\"\"& \"\"Dedicated workspace: table\"\"& \"\"Nespresso machine\"\"& \"\"Free washer \\u2013 In unit\"\"\"",$95.00,FALSE
